Time,Heart Rate
01:00:01,85
01:00:11,84
01:00:16,85
01:00:31,85
01:00:46,85
01:01:01,85
01:01:16,85
01:01:31,85
01:01:36,86
01:01:41,85
01:01:56,85
01:02:11,84
01:02:26,84
01:02:36,83
01:02:44,84
01:02:59,84
01:03:14,84
01:03:29,84
01:03:44,83
01:03:59,83
01:04:14,83
01:04:29,83
01:04:39,84
01:04:54,84
01:05:09,85
01:05:24,85
01:05:39,86
01:05:54,86
01:06:09,86
01:06:24,86
01:06:39,87
01:06:54,87
01:07:09,88
01:07:24,88
01:07:39,88
01:07:44,89
01:07:59,89
01:08:09,88
01:08:24,88
01:08:39,86
01:08:44,87
01:08:51,87
01:09:06,87
01:09:21,87
01:09:36,87
01:09:51,87
01:10:06,87
01:10:11,88
01:10:16,88
01:10:31,88
01:10:41,89
01:10:56,89
01:11:11,89
01:11:16,90
01:11:31,90
01:11:46,90
01:12:01,90
01:12:11,89
01:12:16,90
01:12:31,90
01:12:46,90
01:13:01,90
01:13:11,90
01:13:16,90
01:13:31,90
01:13:46,90
01:14:01,90
01:14:11,91
01:14:19,91
01:14:34,91
01:14:44,90
01:14:59,90
01:15:14,89
01:15:19,90
01:15:34,90
01:15:44,89
01:15:49,90
01:16:04,90
01:16:19,90
01:16:34,90
01:16:49,90
01:17:04,90
01:17:19,90
01:17:34,90
01:17:44,91
01:17:59,91
01:18:14,91
01:18:29,91
01:18:44,93
01:18:59,93
01:19:14,93
01:19:29,93
01:19:44,92
01:19:59,92
01:20:14,90
01:20:17,90
01:20:32,90
01:20:47,89
01:21:02,89
01:21:17,89
01:21:32,89
01:21:42,90
01:21:47,89
01:22:02,89
01:22:12,90
01:22:27,90
01:22:42,90
01:22:57,90
01:23:12,90
01:23:17,89
01:23:32,89
01:23:47,89
01:24:02,89
01:24:12,88
01:24:17,87
01:24:32,87
01:24:47,87
01:25:02,87
01:25:17,87
01:25:32,87
01:25:47,87
01:26:02,87
01:26:05,87
01:26:20,87
01:26:35,87
01:26:45,88
01:27:00,88
01:27:15,88
01:27:30,88
01:27:45,89
01:28:00,89
01:28:15,88
01:28:30,88
01:28:45,88
01:28:50,89
01:29:05,89
01:29:15,88
01:29:30,88
01:29:45,88
01:30:00,88
01:30:15,88
01:30:30,88
01:30:45,88
01:31:00,88
01:31:15,88
01:31:30,88
01:31:45,88
01:32:00,88
01:32:15,87
01:32:18,87
01:32:33,87
01:32:48,86
01:33:03,86
01:33:18,87
01:33:33,87
01:33:48,88
01:34:03,88
01:34:18,88
01:34:23,89
01:34:38,89
01:34:53,89
01:35:08,89
01:35:18,90
01:35:33,90
01:35:48,89
01:36:03,89
01:36:18,88
01:36:33,88
01:36:48,87
01:37:03,87
01:37:18,87
01:37:33,87
01:37:48,86
01:38:03,86
01:38:18,87
01:38:33,87
01:38:36,87
01:38:51,87
01:39:06,87
01:39:21,88
01:39:36,88
01:39:51,88
01:40:06,88
01:40:21,87
01:40:36,87
01:40:51,88
01:41:06,88
01:41:21,87
01:41:36,87
01:41:51,87
01:42:06,87
01:42:21,87
01:42:36,87
01:42:51,87
01:42:56,88
01:43:11,88
01:43:26,88
01:43:41,88
01:43:51,87
01:44:06,87
01:44:16,88
01:44:21,87
01:44:36,87
01:44:39,87
01:44:54,87
01:45:09,87
01:45:24,87
01:45:39,87
01:45:54,87
01:46:09,87
01:46:24,87
01:46:39,87
01:46:54,87
01:47:09,87
01:47:19,88
01:47:34,88
01:47:49,88
01:48:04,88
01:48:19,87
01:48:34,87
01:48:49,87
01:49:04,87
01:49:19,87
01:49:34,87
01:49:49,86
01:50:04,86
01:50:19,87
01:50:34,87
01:50:49,86
01:51:04,86
01:51:08,86
01:51:23,86
01:51:28,87
01:51:43,87
01:51:58,88
01:52:13,88
01:52:28,89
01:52:43,89
01:52:53,88
01:53:08,88
01:53:23,87
01:53:38,87
01:53:53,86
01:54:08,86
01:54:23,87
01:54:38,87
01:54:53,86
01:55:08,86
01:55:23,86
01:55:38,86
01:55:53,87
01:56:08,87
01:56:23,87
01:56:38,87
01:56:53,87
01:57:08,87
01:57:23,86
01:57:26,86
01:57:41,86
01:57:56,86
01:58:11,86
01:58:26,85
01:58:41,85
01:58:56,86
01:59:11,86
01:59:26,86
01:59:41,86
01:59:56,85
